"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"228686_at",2.35520694868323,7.35996075962135,4.93892613210175,1.98376868314541e-06,0.000160230649678224,4.68865504530143,"SLC12A2-DT","644873","SLC12A2 divergent transcript"
"205378_s_at",-2.69139251075378,3.72385671585951,-4.93759503234665,1.9955242120339e-06,0.000160922265297153,4.68311218576285,"ACHE","43","acetylcholinesterase (Yt blood group)"
"202082_s_at",1.68436850914957,8.20149428059524,4.9361526086133,2.00833915155844e-06,0.000161696967376513,4.67710698034926,"SEC14L1","6397","SEC14 like lipid binding 1"
"220232_at",1.83469118900501,7.7544065388994,4.93425361677553,2.02533212378307e-06,0.000162628572795299,4.66920289326337,"SCD5","79966","stearoyl-CoA desaturase 5"
"214965_at",-1.84277988914324,8.09255368164686,-4.93413886342154,2.02636343952397e-06,0.000162628572795299,4.66872533115282,"SPATA2L","124044","spermatogenesis associated 2 like"
"232125_at",2.38041460330581,6.03519436223515,4.93208405451847,2.0449169234721e-06,0.000163856689761395,4.66017531808326,"ZBTB20","26137","zinc finger and BTB domain containing 20"
"207124_s_at",-2.8552344430781,5.56424246558106,-4.93135654339607,2.05152523857896e-06,0.000164125275475585,4.65714877902181,"GNB5","10681","G protein subunit beta 5"
"213519_s_at",2.71765129307373,5.35052937113081,4.93005428775814,2.06340596198152e-06,0.00016481414245615,4.65173203690336,"LAMA2","3908","laminin subunit alpha 2"
"220313_at",-2.09156978143658,7.33906809412728,-4.92764749742996,2.08553938313765e-06,0.00016631846590114,4.64172370208003,"GPR88","54112","G protein-coupled receptor 88"
"213109_at",1.62270157516589,7.95690491803083,4.92642944871629,2.09682840614228e-06,0.000166954578985746,4.6366599492368,"TNIK","23043","TRAF2 and NCK interacting kinase"
"220105_at",-2.73458067337399,3.56554972799379,-4.92533089262772,2.10706075384008e-06,0.000167504683050937,4.63209373713998,"RSPH14","27156","radial spoke head 14 homolog"
"564_at",-1.56225558662076,8.52996096486905,-4.92496052281518,2.11052141148154e-06,0.000167515574267845,4.63055443989848,"GNA11","2767","G protein subunit alpha 11"
"228804_at",-1.3162119127293,7.95125953537406,-4.92018266940895,2.15566174140433e-06,0.000170829414195785,4.6107046859561,"DGCR5","26220","DiGeorge syndrome critical region gene 5"
"202307_s_at",1.69415741467014,7.31048190941334,4.9186313745775,2.17051836420378e-06,0.000171736728530981,4.60426278384185,"TAP1","6890","transporter 1, ATP binding cassette subfamily B member"
"202552_s_at",-1.48891819027796,9.38663085939711,-4.91601051454311,2.19584392266429e-06,0.000173468228128845,4.59338275694874,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"208002_s_at",-2.12477053843923,9.56202105246562,-4.91470893956361,2.20852735886952e-06,0.00017419716340279,4.58798106747603,"ACOT7","11332","acyl-CoA thioesterase 7"
"212948_at",-1.25164336009519,8.84619375948058,-4.91139864478314,2.24110596497439e-06,0.000176490596469803,4.57424763289687,"CAMTA2","23125","calmodulin binding transcription activator 2"
"207945_s_at",-1.91064957147553,6.12336237598602,-4.90955693859621,2.25943249093618e-06,0.000177656251132097,4.56660984735835,"CSNK1D","1453","casein kinase 1 delta"
"224151_s_at",1.46773453014341,7.94172007434338,4.90826533051585,2.2723716527065e-06,0.000178395332816294,4.56125462863332,"AK3","50808","adenylate kinase 3"
"212996_s_at",-1.47871260399432,8.68685987784771,-4.90675189128106,2.28762448957458e-06,0.000179313471071615,4.55498096405828,"URB1","9875","URB1 ribosome biogenesis factor"
"228927_at",1.66547953407603,9.11306285482731,4.90619069563687,2.29330554929197e-06,0.00017947964749979,4.55265499521149,"ZNF397","84307","zinc finger protein 397"
"227556_at",-2.36648585770558,11.753443961299,-4.90521080048251,2.30325796211298e-06,0.000179979076819312,4.54859411997998,"NME7","29922","NME/NM23 family member 7"
"227164_at",1.36937354803313,8.33444552315634,4.90431750932933,2.31236723983816e-06,0.000180411178413442,4.54489266215744,"SRSF1","6426","serine and arginine rich splicing factor 1"
"226823_at",1.73015609850481,7.95602636917263,4.90188601793919,2.33733944843883e-06,0.000182077659259297,4.53481997156218,"PHACTR4","65979","phosphatase and actin regulator 4"
"1861_at",-1.73797991325373,6.86285990737129,-4.89640085504634,2.39463751417018e-06,0.000185994720026676,4.51211048962952,"BAD","572","BCL2 associated agonist of cell death"
"207381_at",-2.49059706854784,4.17300616977013,-4.89636622604117,2.3950035375749e-06,0.000185994720026676,4.51196717857322,"ALOX12B","242","arachidonate 12-lipoxygenase, 12R type"
"201344_at",-1.33057158242626,8.83608540378398,-4.89463557822789,2.41336545517174e-06,0.000187132357394017,4.50480588615774,"UBE2D2","7322","ubiquitin conjugating enzyme E2 D2"
"1558795_at",-2.32009349079842,10.4942227061764,-4.89349039258829,2.4255906339092e-06,0.000187551452989659,4.50006820580778,"ADGRB3-DT","101928307","ADGRB3 divergent transcript"
"238747_at",-1.38086983505136,10.2626891450535,-4.89319527395776,2.42875082120585e-06,0.000187551452989659,4.49884741859483,"CACNA1E","777","calcium voltage-gated channel subunit alpha1 E"
"203719_at",-1.36259043895498,7.44349278659699,-4.89308488559976,2.42993390611788e-06,0.000187551452989659,4.4983908000778,"ERCC1","2067","ERCC excision repair 1, endonuclease non-catalytic subunit"
